longitude,latitude,Cena,Izby,Druh,Plocha,distance_from_centre
18.086038,48.3128725,240000,4,4 izbový byt,101,74.4
18.0773656,48.3100956,161900,2,2 izbový byt,55,73.7
18.0737317,48.294028,138500,3,3 izbový byt,68,73.1
18.0510337,48.3041149,180200,3,3 izbový byt,78,71.7
18.0652372,48.3064073,140000,2,2 izbový byt,56,72.8
18.0912919,48.3039415,159000,2,2 izbový byt,57,74.6
18.3823609,48.3855358,121000,4,4 izbový byt,89,97.7
18.0510337,48.3041149,87000,1,1 izbový byt,32,71.7
18.0510337,48.3041149,112500,2,2 izbový byt,47,71.7
18.0510337,48.3041149,129400,2,2 izbový byt,54,71.7
17.8712279,47.8089087,51500,3,3 izbový byt,73,67.7
18.0976378,48.3127719,143000,3,3 izbový byt,71,75.3
18.1105714,48.3137191,162000,3,3 izbový byt,85,76.2
18.063877,48.2966222,143600,3,3 izbový byt,79,72.4
18.1779576,48.5545602,115000,3,3 izbový byt,82,90.9
18.086038,48.3128725,143600,3,3 izbový byt,79,74.4
18.076376,48.3061414,179900,3,3 izbový byt,76,73.6
18.0684997,48.2965398,129600,3,3 izbový byt,76,72.7
18.1571098,47.9881643,98990,3,3 izbový byt,66,79.5
18.076376,48.3061414,166500,3,3 izbový byt,75,73.6
18.086038,48.3128725,165000,3,3 izbový byt,79,74.4
18.1571098,47.9881643,98000,2,2 izbový byt,57,79.5
18.3556977,48.416952,102900,4,4 izbový byt,79,96.8
18.0653544,48.3049644,145490,4,4 izbový byt,95,72.7
18.0807019,48.3130732,103600,2,2 izbový byt,51,74.1
18.0932864,48.314884,157990,3,3 izbový byt,74,75
18.086038,48.3128725,156900,2,2 izbový byt,69,74.4
18.076376,48.3061414,129990,3,3 izbový byt,73,73.6
18.076376,48.3061414,131600,3,3 izbový byt,73,73.6
18.076376,48.3061414,124000,3,3 izbový byt,61,73.6
18.076376,48.3061414,118000,3,3 izbový byt,79,73.6
18.076376,48.3061414,139990,3,3 izbový byt,74,73.6
18.0652372,48.3064073,159000,4,4 izbový byt,86,72.8
18.0873,48.31486,183900,3,3 izbový byt,76,74.6
18.0656408,48.2959497,175990,3,3 izbový byt,62,72.5
18.086038,48.3128725,138600,2,2 izbový byt,61,74.4
18.086038,48.3128725,149800,2,2 izbový byt,57,74.4
18.086038,48.3128725,98900,1,1 izbový byt,42,74.4
18.076376,48.3061414,216900,2,2 izbový byt,100,73.6
18.076376,48.3061414,178990,3,3 izbový byt,75,73.6
18.1338882,47.7656994,103000,3,3 izbový byt,74,86.9
18.12693071,47.7570048,112000,3,3 izbový byt,80,86.9
18.1728378,47.9842785,125000,3,3 izbový byt,82,80.7
18.123548,47.7707869,129990,3,3 izbový byt,74,85.9
18.13437009,47.76214001,124990,3,3 izbový byt,72,87.1
18.1404732,47.7625528,82000,2,2 izbový byt,52,87.5
18.1257564,47.7640204,72000,2,2 izbový byt,54,86.5
19.79737,48.72121,105000,2,2 izbový byt,80,208
18.0782792,47.7861235,95000,3,3 izbový byt,57,82.2
18.11997414,47.75440093,117000,3,3 izbový byt,74,86.6
18.11194038,47.76193087,59990,1,1 izbový byt,37,85.7
18.08572769,47.81119473,77000,3,3 izbový byt,62,81.3
18.08572769,47.81119473,77000,3,3 izbový byt,62,81.3
18.1298249,47.7574079,58000,1,1 izbový byt,32,87.1
18.0674443,47.7938604,74900,3,3 izbový byt,57,81
18.1680846,47.7873386,79900,3,3 izbový byt,92,88
18.1216427,47.7591781,110000,3,3 izbový byt,72,86.5
18.171697,48.5584441,152000,4,4 izbový byt,98,90.7
18.2344204,48.6121196,77000,2,2 izbový byt,64,97.7
18.5986478,48.2127921,175000,4,4 izbový byt,128,110.4
18.6011482,48.2192923,82500,2,2 izbový byt,63,110.6
18.3767651,48.2871622,89900,3,3 izbový byt,73,94.9
18.3090806,48.24153838,94000,3,3 izbový byt,66,89.3
18.3757925,48.28727652,89900,3,3 izbový byt,60,94.9
18.0833441,48.3051809,129000,1,1 izbový byt,40,74
18.03487301,48.29447206,169990,3,3 izbový byt,77,70.3
18.03487301,48.29447206,162990,3,3 izbový byt,77,70.3
18.11069369,48.31141467,139900,2,2 izbový byt,63,76.2
18.03487301,48.29447206,157990,3,3 izbový byt,77,70.3
18.1961613,47.8799968,75990,3,3 izbový byt,60,85.7
18.1640649,47.9860672,127000,3,3 izbový byt,64,80
18.1640649,47.9860672,125000,3,3 izbový byt,82,80
18.1640649,47.9860672,139900,3,3 izbový byt,78,80
18.1630344,47.9900514,72500,1,1 izbový byt,36,79.9
18.0516667,47.8513889,74000,3,3 izbový byt,61,77.1
18.1640649,47.9860672,122000,3,3 izbový byt,77,80
18.1961613,47.8799968,75990,3,3 izbový byt,60,85.7
18.1640649,47.9860672,127000,3,3 izbový byt,64,80
18.1640649,47.9860672,103000,3,3 izbový byt,73,80
18.1684247,47.9805569,72500,1,1 izbový byt,36,80.5
18.1640649,47.9860672,73000,1,1 izbový byt,36,80
18.164236,47.9801333,116490,3,3 izbový byt,67,80.2
18.170141,47.9847096,98800,3,3 izbový byt,76,80.5
18.6461403,47.7777968,99000,4,4 izbový byt,98,121.2
18.1640649,47.9860672,87900,2,2 izbový byt,53,80
18.1640649,47.9860672,129000,3,3 izbový byt,74,80
18.1640649,47.9860672,112000,3,3 izbový byt,73,80
18.1640649,47.9860672,140900,3,3 izbový byt,79,80
18.1640649,47.9860672,104400,1,1 izbový byt,54,80
18.1640649,47.9860672,140000,3,3 izbový byt,82,80
18.2642868,47.9936183,80000,1,1 izbový byt,46,87.1
18.2642868,47.9936183,80000,1,1 izbový byt,46,87.1
18.1640649,47.9860672,126000,3,3 izbový byt,79,80
18.1563161,47.9797862,104900,2,2 izbový byt,63,79.6
18.164236,47.9801333,135000,4,4 izbový byt,84,80.2
18.1640649,47.9860672,125800,2,2 izbový byt,67,80
18.1640649,47.9860672,129990,3,3 izbový byt,81,80
18.1640649,47.9860672,88800,2,2 izbový byt,59,80
18.1640649,47.9860672,80000,1,1 izbový byt,46,80
18.1640649,47.9860672,139000,3,3 izbový byt,77,80
18.1640649,47.9860672,126000,3,3 izbový byt,84,80
18.15184,47.979448,119000,3,3 izbový byt,84,79.3
18.6461403,47.7777968,79900,2,2 izbový byt,63,121.2
18.6461403,47.7777968,84900,3,3 izbový byt,78,121.2
18.3399932,48.102287,97500,1,1 izbový byt,40,91.2
18.6461403,47.7777968,94000,3,3 izbový byt,79,121.2
17.884183,48.148724,84000,2,2 izbový byt,60,57.2
18.0273376,48.3473625,181000,3,3 izbový byt,80,71.3
18.0273376,48.3473625,181000,3,3 izbový byt,79,71.3
18.0894126,48.3179548,209900,2,2 izbový byt,60,74.8
18.0894126,48.3179548,319100,3,3 izbový byt,84,74.8
18.1094491,48.3101068,168000,3,3 izbový byt,78,76
18.3054115,48.2438628,83000,1,1 izbový byt,36,89
18.02416992,48.35182435,181000,3,3 izbový byt,93,71.3
18.2562669,48.23737,85700,1,1 izbový byt,42,85.3
18.3767651,48.2871622,94600,2,2 izbový byt,73,94.9
18.39598258,48.28222,89900,3,3 izbový byt,60,96.2
18.30837799,48.24281818,168000,3,3 izbový byt,81,89.2
18.2562669,48.23737,111700,2,2 izbový byt,55,85.3
18.3767651,48.2871622,101500,3,3 izbový byt,79,94.9
18.2562669,48.23737,116700,2,2 izbový byt,67,85.3
18.2562669,48.23737,89700,1,1 izbový byt,54,85.3
18.2562669,48.23737,236700,4,4 izbový byt,215,85.3
18.6011482,48.2192923,120000,3,3 izbový byt,66,110.6
18.6051464,48.2039771,133000,4,4 izbový byt,97,110.8
18.1128329,48.3091437,154000,3,3 izbový byt,61,76.3
18.0618157,48.3017253,157900,2,2 izbový byt,51,72.4
18.51521184,48.29466314,110400,3,3 izbový byt,77,105.2
18.5151582,48.2957124,63900,1,1 izbový byt,37,105.2
18.0618157,48.3017253,99894,1,1 izbový byt,35,72.4
18.0618157,48.3017253,203600,3,3 izbový byt,71,72.4
18.51507237,48.29434193,75900,2,2 izbový byt,51,105.1
18.15624345,47.98731495,82812,1,1 izbový byt,49,79.4
18.0873,48.31486,200000,4,4 izbový byt,100,74.6
18.0873,48.31486,249000,3,3 izbový byt,110,74.6
18.0811166,48.3078299,147000,4,4 izbový byt,103,73.9
18.0534686,48.3099258,135000,2,2 izbový byt,45,72
18.1294132,47.7625785,92000,2,2 izbový byt,58,86.8
18.15624345,47.98731495,88940.5,2,2 izbový byt,52,79.4
18.1555624,47.9816818,119990,3,3 izbový byt,61,79.5
18.1555624,47.9816818,124000,3,3 izbový byt,79,79.5
18.1563161,47.9797862,135000,3,3 izbový byt,74,79.6
18.1563161,47.9797862,125000,3,3 izbový byt,60,79.6
18.1332096,47.7624296,74990,3,3 izbový byt,73,87
18.1672977,47.9919831,117000,3,3 izbový byt,70,80.1
18.1464436,47.9892036,135500,3,3 izbový byt,65,78.7
17.8901679,48.1650932,89300,2,2 izbový byt,50,57.7
18.1294132,47.7625785,67900,2,2 izbový byt,52,86.8
18.612751,48.2037717,113000,4,4 izbový byt,98,111.3
18.3976342,48.3832287,79990,4,4 izbový byt,90,98.7
18.6011482,48.2192923,63000,1,1 izbový byt,35,110.6
18.1172953,47.7678086,78500,3,3 izbový byt,73,85.7
18.0534686,48.3099258,159999,3,3 izbový byt,56,72
18.0903174,48.3154015,215000,4,4 izbový byt,93,74.8
18.076376,48.3061414,165000,4,4 izbový byt,95,73.6
18.0534686,48.3099258,124990,2,2 izbový byt,41,72
18.05461554,48.2999807,94000,1,1 izbový byt,37,71.8
18.05461554,48.2999807,94000,1,1 izbový byt,37,71.8
18.3840014,48.3870964,125000,4,4 izbový byt,82,97.8
18.0685036,48.2965355,159000,3,3 izbový byt,73,72.7
18.0534686,48.3099258,176000,3,3 izbový byt,58,72
18.086038,48.3128725,139000,2,2 izbový byt,58,74.4
18.3070801,48.246014,83000,1,1 izbový byt,36,89.2
18.076376,48.3061414,124990,3,3 izbový byt,70,73.6
18.086038,48.3128725,98000,1,1 izbový byt,40,74.4
18.172544,48.5534332,122000,2,2 izbový byt,51,90.5
18.3823609,48.3855358,130000,4,4 izbový byt,85,97.7
18.0768849,48.3068013,144900,2,2 izbový byt,59,73.6
18.4124894,48.419396,79990,4,4 izbový byt,90,100.8
18.0805619,48.3107653,145000,3,3 izbový byt,75,74
18.0805619,48.3107653,98000,1,1 izbový byt,41,74
18.0805619,48.3107653,174900,3,3 izbový byt,75,74
